hoc_sinh,13a,13b,13c,14a,14b,14c,15a,15b,15c,tong_diem
HS_2,1.0,0.25,0.5,0.25,0.25,0.25,0.0,0.25,0.25,3.0
HS_3,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5
HS_7,1.0,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.5,4.0
HS_9,1.0,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,3.25
HS_10,1.0,0.25,0.5,0.0,0.0,0.25,0.25,0.25,0.5,3.0
HS_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS_15,1.0,0.5,0.5,0.25,0.25,0.25,0.0,0.25,0.0,3.0
HS_17,1.0,0.0,0.5,0.25,0.0,0.25,0.25,0.25,0.0,2.5
HS_18,1.0,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.0,2.5
HS_19,1.0,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.0,2.5
HS_21,1.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.75
HS_24,1.0,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.0,2.25
HS_26,1.0,0.5,0.5,0.0,0.0,0.25,0.25,0.25,0.0,2.75
HS_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
HS_29,1.0,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0.0,3.5
HS_30,1.0,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.0,3.0
HS_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25
HS_34,1.0,0.5,0.5,0.25,0.5,0.0,0.25,0.25,0.0,3.25
HS_36,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,1.25
HS_39,1.0,0.5,0.5,0.25,0.0,0.25,0.25,0.25,0.0,3.0
